from,to,count
AIGBR608,AIGBR320,0
AIGBR608,AIGBR465,0
AIGBR608,AIGBR1063,0
AIGBR608,AIGBR1281,0
AIGBR608,AIGBR371,0
AIGBR608,AIGBR2095,0
AIGBR608,AIGBR1194,0
AIGBR608,AIGBR646,0
AIGBR608,AIGBR1548,0
AIGBR608,AIGBR1147,21
AIGBR608,AIGBR2029,0
AIGBR608,AIGBR218,0
AIGBR608,AIGBR1043,42
AIGBR608,AIGBR981,0
AIGBR608,AIGBR908,0
AIGBR608,AIGBR1042,0
AIGBR608,AIGBR1969,0
AIGBR608,AIGBR272,0
AIGBR608,AIGBR1102,0
AIGBR608,AIGBR390,0
AIGBR608,AIGBR548,0
AIGBR608,AIGBR133,0
AIGBR608,AIGBR43,0
AIGBR608,AIGBR1104,0
AIGBR608,AIGBR1085,0
AIGBR608,AIGBR939,3
AIGBR608,AIGBR1398,0
AIGBR608,AIGBR439,0
AIGBR608,AIGBR184,0
AIGBR608,AIGBR324,0
AIGBR608,AIGBR1439,0
AIGBR608,AIGBR1676,0
AIGBR608,AIGBR492,0
AIGBR608,AIGBR2116,0
AIGBR608,AIGBR2004,47
AIGBR608,AIGBR1655,0
AIGBR608,AIGBR805,0
AIGBR608,AIGBR2074,0
AIGBR608,AIGBR1978,0
AIGBR608,AIGBR593,0
AIGBR608,AIGBR1895,0
AIGBR608,AIGBR185,0
AIGBR608,AIGBR1113,0
AIGBR608,AIGBR1514,3
AIGBR608,AIGBR708,0
AIGBR608,AIGBR36,0
AIGBR608,AIGBR1146,20
AIGBR608,AIGBR1989,0
AIGBR608,AIGBR2021,0
AIGBR608,AIGBR799,0
AIGBR608,AIGBR1765,1
AIGBR608,AIGBR2032,0
AIGBR608,AIGBR1252,0
AIGBR608,AIGBR1059,0
AIGBR608,AIGBR2025,0
AIGBR608,AIGBR1179,0
AIGBR608,AIGBR2242,0
AIGBR608,AIGBR1924,0
AIGBR608,AIGBR2121,0
AIGBR608,AIGBR1449,0
AIGBR608,AIGBR1501,2
AIGBR608,AIGBR1938,0
AIGBR608,AIGBR1060,0
AIGBR608,AIGBR1005,36
AIGBR608,AIGBR1407,0
AIGBR608,AIGBR46,0
AIGBR608,AIGBR909,0
AIGBR608,AIGBR889,0
AIGBR608,AIGBR1383,0
AIGBR608,AIGBR455,0
AIGBR608,AIGBR689,0
AIGBR608,AIGBR829,0
AIGBR608,AIGBR1767,0
AIGBR608,AIGBR1851,0
AIGBR608,AIGBR1142,0
AIGBR608,AIGBR1208,0
AIGBR608,AIGBR1360,0
AIGBR608,AIGBR941,4
AIGBR608,AIGBR2231,0
AIGBR608,AIGBR1541,0
AIGBR608,AIGBR1445,31
AIGBR608,AIGBR1808,5
AIGBR608,AIGBR1231,0
AIGBR608,AIGBR590,0
AIGBR608,AIGBR506,0
AIGBR608,AIGBR1074,0
AIGBR608,AIGBR1719,0
AIGBR608,AIGBR421,0
AIGBR608,AIGBR1598,0
AIGBR608,AIGBR1743,4
AIGBR608,AIGBR1107,0
AIGBR608,AIGBR1777,0
AIGBR608,AIGBR859,0
AIGBR608,AIGBR2165,0
AIGBR608,AIGBR2213,0
AIGBR608,AIGBR1747,1
AIGBR608,AIGBR1980,0
AIGBR608,AIGBR40,0
AIGBR608,AIGBR1710,0
AIGBR608,AIGBR1197,0
AIGBR608,AIGBR1770,0
AIGBR608,AIGBR425,0
AIGBR608,AIGBR448,0
AIGBR608,AIGBR158,0
AIGBR608,AIGBR1659,0
AIGBR608,AIGBR2049,0
AIGBR608,AIGBR1887,44
AIGBR608,AIGBR2240,0
AIGBR608,AIGBR1161,0
AIGBR608,AIGBR1953,0
AIGBR608,AIGBR491,0
AIGBR608,AIGBR1053,0
AIGBR659,AIGBR461,0
AIGBR659,AIGBR608,0
AIGBR659,AIGBR659,230
AIGBR659,AIGBR1713,0
AIGBR659,AIGBR171,0
AIGBR659,AIGBR1195,0
AIGBR659,AIGBR638,0
AIGBR659,AIGBR321,0
AIGBR659,AIGBR674,0
AIGBR659,AIGBR2243,0
AIGBR659,AIGBR2007,0
AIGBR659,AIGBR2113,0
AIGBR659,AIGBR320,0
AIGBR659,AIGBR465,0
AIGBR659,AIGBR1063,0
AIGBR659,AIGBR1281,0
AIGBR659,AIGBR371,0
AIGBR659,AIGBR2095,0
AIGBR659,AIGBR1194,0
AIGBR659,AIGBR646,0
AIGBR659,AIGBR1548,0
AIGBR659,AIGBR1147,0
AIGBR659,AIGBR2029,0
AIGBR659,AIGBR218,0
AIGBR659,AIGBR1043,0
AIGBR659,AIGBR981,0
AIGBR659,AIGBR908,0
AIGBR659,AIGBR1042,0
AIGBR659,AIGBR1969,0
AIGBR659,AIGBR272,0
AIGBR659,AIGBR1102,0
AIGBR659,AIGBR390,0
AIGBR659,AIGBR548,0
AIGBR659,AIGBR133,0
AIGBR659,AIGBR43,0
AIGBR659,AIGBR1104,0
AIGBR659,AIGBR1085,0
AIGBR659,AIGBR939,0
AIGBR659,AIGBR1398,0
AIGBR659,AIGBR439,0
AIGBR659,AIGBR184,0
AIGBR659,AIGBR324,0
AIGBR659,AIGBR1439,5
AIGBR659,AIGBR1676,0
AIGBR659,AIGBR492,8
AIGBR659,AIGBR2116,0
AIGBR659,AIGBR2004,0
AIGBR659,AIGBR1655,0
AIGBR659,AIGBR805,0
AIGBR659,AIGBR2074,0
AIGBR659,AIGBR1978,0
AIGBR659,AIGBR593,0
AIGBR659,AIGBR1895,0
AIGBR659,AIGBR185,0
AIGBR659,AIGBR1113,0
AIGBR659,AIGBR1514,0
AIGBR659,AIGBR708,0
AIGBR659,AIGBR36,0
AIGBR659,AIGBR1146,0
AIGBR659,AIGBR1989,0
AIGBR659,AIGBR2021,0
AIGBR659,AIGBR799,0
AIGBR659,AIGBR1765,0
AIGBR659,AIGBR2032,0
AIGBR659,AIGBR1252,0
AIGBR659,AIGBR1059,0
AIGBR659,AIGBR2025,0
AIGBR659,AIGBR1179,2
AIGBR659,AIGBR2242,0
AIGBR659,AIGBR1924,0
AIGBR659,AIGBR2121,0
AIGBR659,AIGBR1449,0
AIGBR659,AIGBR1501,0
AIGBR659,AIGBR1938,0
AIGBR659,AIGBR1060,0
AIGBR659,AIGBR1005,0
AIGBR659,AIGBR1407,0
AIGBR659,AIGBR46,0
AIGBR659,AIGBR909,0
AIGBR659,AIGBR889,0
AIGBR659,AIGBR1383,0
AIGBR659,AIGBR455,0
AIGBR659,AIGBR689,0
AIGBR659,AIGBR829,0
AIGBR659,AIGBR1767,0
AIGBR659,AIGBR1851,0
AIGBR659,AIGBR1142,0
AIGBR659,AIGBR1208,0
AIGBR659,AIGBR1360,0
AIGBR659,AIGBR941,0
AIGBR659,AIGBR2231,0
AIGBR659,AIGBR1541,0
AIGBR659,AIGBR1445,0
AIGBR659,AIGBR1808,0
AIGBR659,AIGBR1231,0
AIGBR659,AIGBR590,0
AIGBR659,AIGBR506,0
AIGBR659,AIGBR1074,0
AIGBR659,AIGBR1719,0
AIGBR659,AIGBR421,0
AIGBR659,AIGBR1598,0
AIGBR659,AIGBR1743,0
AIGBR659,AIGBR1107,0
AIGBR659,AIGBR1777,0
AIGBR659,AIGBR859,0
AIGBR659,AIGBR2165,0
AIGBR659,AIGBR2213,0
AIGBR659,AIGBR1747,0
AIGBR659,AIGBR1980,0
AIGBR659,AIGBR40,0
AIGBR659,AIGBR1710,0
AIGBR659,AIGBR1197,0
AIGBR659,AIGBR1770,0
AIGBR659,AIGBR425,0
AIGBR659,AIGBR448,0
AIGBR659,AIGBR158,0
AIGBR659,AIGBR1659,0
AIGBR659,AIGBR2049,0
AIGBR659,AIGBR1887,0
AIGBR659,AIGBR2240,0
AIGBR659,AIGBR1161,0
AIGBR659,AIGBR1953,0
AIGBR659,AIGBR491,0
AIGBR659,AIGBR1053,0
AIGBR1713,AIGBR461,0
AIGBR1713,AIGBR608,0
AIGBR1713,AIGBR659,0
AIGBR1713,AIGBR1713,225
AIGBR1713,AIGBR171,0
AIGBR1713,AIGBR1195,0
AIGBR1713,AIGBR638,0
AIGBR1713,AIGBR321,0
AIGBR1713,AIGBR674,0
AIGBR1713,AIGBR2243,0
AIGBR1713,AIGBR2007,0
AIGBR1713,AIGBR2113,0
AIGBR1713,AIGBR320,0
AIGBR1713,AIGBR465,0
AIGBR1713,AIGBR1063,0
AIGBR1713,AIGBR1281,0
AIGBR1713,AIGBR371,0
AIGBR1713,AIGBR2095,0
AIGBR1713,AIGBR1194,0
AIGBR1713,AIGBR646,0
AIGBR1713,AIGBR1548,0
AIGBR1713,AIGBR1147,0
AIGBR1713,AIGBR2029,0
AIGBR1713,AIGBR218,0
AIGBR1713,AIGBR1043,0
AIGBR1713,AIGBR981,0
AIGBR1713,AIGBR908,0
AIGBR1713,AIGBR1042,0
AIGBR1713,AIGBR1969,0
AIGBR1713,AIGBR272,0
AIGBR1713,AIGBR1102,0
AIGBR1713,AIGBR390,0
AIGBR1713,AIGBR548,0
AIGBR1713,AIGBR133,0
AIGBR1713,AIGBR43,0
AIGBR1713,AIGBR1104,0
AIGBR1713,AIGBR1085,0
AIGBR1713,AIGBR939,0
AIGBR1713,AIGBR1398,0
AIGBR1713,AIGBR439,0
AIGBR1713,AIGBR184,0
AIGBR1713,AIGBR324,0
AIGBR1713,AIGBR1439,0
AIGBR1713,AIGBR1676,0
AIGBR1713,AIGBR492,0
AIGBR1713,AIGBR2116,0
AIGBR1713,AIGBR2004,0
